Semana,Día,Fecha,Cliente,Localidad,Lat,Lon,Horas,Tiempo_Desplazamiento_min,id_tecnico
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Lunes,04/08/2025,50,Fuenmayor,42.4676309677,-2.5557353552,3.0,23.36,4
2,Lunes,04/08/2025,1,Haro,42.5681060494,-2.8581525119,2.5,27.14,4
2,Lunes,04/08/2025,0,Ollauri,42.539,-2.848,0.0,7.86,4
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Martes,05/08/2025,28,Cenicero,42.4870529625,-2.6326113023,2.5,18.75,4
2,Martes,05/08/2025,1,Haro,42.5681060494,-2.8581525119,2.5,22.45,4
2,Martes,05/08/2025,0,Ollauri,42.539,-2.848,0.0,7.86,4
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Miércoles,06/08/2025,37,Najera,42.4151674046,-2.7397754566,2.5,25.83,4
2,Miércoles,06/08/2025,28,Cenicero,42.4870529625,-2.6326113023,2.5,21.67,4
2,Miércoles,06/08/2025,0,Ollauri,42.539,-2.848,0.0,18.75,4
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Jueves,07/08/2025,36,Briones,42.5436362667,-2.781,2.5,5.91,4
2,Jueves,07/08/2025,29,Laguardia,42.5464231068,-2.5766050848,3.0,25.59,4
2,Jueves,07/08/2025,0,Ollauri,42.539,-2.848,0.0,31.5,4
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
2,Viernes,08/08/2025,28,Cenicero,42.4870529625,-2.6326113023,2.5,18.75,4
2,Viernes,08/08/2025,20,Miranda,42.6798199543,-2.9638868896,2.0,42.15,4
2,Viernes,08/08/2025,0,Ollauri,42.539,-2.848,0.0,30.15,4
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,0.0,4
3,Lunes,11/08/2025,20,Miranda,42.6798199543,-2.9638868896,2.0,31.93,4
3,Lunes,11/08/2025,1,Haro,42.5681060494,-2.8581525119,2.5,30.37,4
3,Lunes,11/08/2025,0,Ollauri,42.539,-2.848,0.0,7.86,4
