Año,Mes,Mes_Num,Semana,Día,Fecha,Cliente,Localidad,Lat,Lon,Horas_Trabajo_Cliente,Cluster,Tiempo_Desplazamiento_Dia_min,Detalle_Desplazamientos_min,Horas_Trabajo_Total_Dia,Jornada_Total_Horas,Secuencia_Ruta_Dia
2025,January,1,1,Viernes,03/01/2025,10,San Vicente,42.55723123763941,-2.756225378311136,0.5,0,113.10000000000001,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> San Vicente: 15.8 min | San Vicente -> Cenicero: 20.1 min | Cenicero -> Agoncillo: 28.8 min | Agoncillo -> Empresa (Ollauri, La Rioja): 40.5 min",6.0,7.885,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ San Vicente ➔ Cenicero ➔ Agoncillo ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,1,Viernes,03/01/2025,31,Agoncillo,42.44963382972144,-2.29434887357344,3.0,1,113.10000000000001,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> San Vicente: 15.8 min | San Vicente -> Cenicero: 20.1 min | Cenicero -> Agoncillo: 28.8 min | Agoncillo -> Empresa (Ollauri, La Rioja): 40.5 min",6.0,7.885,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ San Vicente ➔ Cenicero ➔ Agoncillo ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,1,Viernes,03/01/2025,49,Cenicero,42.48326712304896,-2.6388964803139454,2.0,2,113.10000000000001,"Empresa (Ollauri, La Rioja) -> Haro: 7.9 min | Haro -> San Vicente: 15.8 min | San Vicente -> Cenicero: 20.1 min | Cenicero -> Agoncillo: 28.8 min | Agoncillo -> Empresa (Ollauri, La Rioja): 40.5 min",6.0,7.885,"Empresa (Ollauri, La Rioja) ➔ Haro ➔ San Vicente ➔ Cenicero ➔ Agoncillo ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Lunes,06/01/2025,44,Sesma,42.47596610323336,-2.084939920137933,2.0,1,162.6,"Empresa (Ollauri, La Rioja) -> Los Arcos: 52.5 min | Los Arcos -> Sesma: 16.5 min | Sesma -> Lerín: 18.1 min | Lerín -> Empresa (Ollauri, La Rioja): 75.5 min",5.0,7.71,"Empresa (Ollauri, La Rioja) ➔ Los Arcos ➔ Sesma ➔ Lerín ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Lunes,06/01/2025,46,Los Arcos,42.573982646482136,-2.1932569768030103,2.0,1,162.6,"Empresa (Ollauri, La Rioja) -> Los Arcos: 52.5 min | Los Arcos -> Sesma: 16.5 min | Sesma -> Lerín: 18.1 min | Lerín -> Empresa (Ollauri, La Rioja): 75.5 min",5.0,7.71,"Empresa (Ollauri, La Rioja) ➔ Los Arcos ➔ Sesma ➔ Lerín ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Lunes,06/01/2025,45,Lerín,42.483451147662834,-1.9662847839221445,1.0,1,162.6,"Empresa (Ollauri, La Rioja) -> Los Arcos: 52.5 min | Los Arcos -> Sesma: 16.5 min | Sesma -> Lerín: 18.1 min | Lerín -> Empresa (Ollauri, La Rioja): 75.5 min",5.0,7.71,"Empresa (Ollauri, La Rioja) ➔ Los Arcos ➔ Sesma ➔ Lerín ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Martes,07/01/2025,28,Cenicero,42.48705296252269,-2.632611302334742,2.25,2,88.5,"Empresa (Ollauri, La Rioja) -> Cenicero: 18.7 min | Cenicero -> Laguardia: 13.2 min | Laguardia -> Logroño: 23.9 min | Logroño -> Empresa (Ollauri, La Rioja): 32.7 min",6.5,7.975,"Empresa (Ollauri, La Rioja) ➔ Cenicero ➔ Laguardia ➔ Logroño ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Martes,07/01/2025,30,Logroño,42.46545739135944,-2.4161055824786333,2.25,2,88.5,"Empresa (Ollauri, La Rioja) -> Cenicero: 18.7 min | Cenicero -> Laguardia: 13.2 min | Laguardia -> Logroño: 23.9 min | Logroño -> Empresa (Ollauri, La Rioja): 32.7 min",6.5,7.975,"Empresa (Ollauri, La Rioja) ➔ Cenicero ➔ Laguardia ➔ Logroño ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Martes,07/01/2025,35,Laguardia,42.55939829735747,-2.6040212194601047,2.0,2,88.5,"Empresa (Ollauri, La Rioja) -> Cenicero: 18.7 min | Cenicero -> Laguardia: 13.2 min | Laguardia -> Logroño: 23.9 min | Logroño -> Empresa (Ollauri, La Rioja): 32.7 min",6.5,7.975,"Empresa (Ollauri, La Rioja) ➔ Cenicero ➔ Laguardia ➔ Logroño ➔ Empresa (Ollauri, La Rioja)"
2025,January,1,2,Miércoles,08/01/2025,37,Najera,42.41516740455801,-2.739775456567488,2.0,2,80.7,"Empresa (Ollauri, La Rioja) -> Fuenmayor: 23.3 min | Fuenmayor -> Sotes: 14.0 min | Sotes -> Najera: 17.6 min | Najera -> Empresa (Ollauri, La Rioja): 25.8 min",5.5,6.845,"Empresa (Ollauri, La Rioja) ➔ Fuenmayor ➔ Sotes ➔ Najera ➔ Empresa (Ollauri, La Rioja)"
